sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-13T17:49:44Z	45871	0	0	8
2026-05-13T17:49:49Z	46040	0	0	8
2026-05-13T17:49:54Z	46077	0	0	8
2026-05-13T17:50:00Z	46090	0	0	8
2026-05-13T17:50:05Z	46279	0	0	8
2026-05-13T17:50:10Z	46327	0	0	8
2026-05-13T17:50:15Z	46352	0	0	8
2026-05-13T17:50:20Z	46383	0	0	8
2026-05-13T17:50:25Z	46397	0	0	8
2026-05-13T17:50:31Z	46438	0	0	8
2026-05-13T17:50:36Z	46561	0	0	8
2026-05-13T17:50:41Z	46802	0	0	8
2026-05-13T17:50:46Z	46825	0	0	8
2026-05-13T17:50:51Z	46841	0	0	8
2026-05-13T17:50:57Z	46967	0	0	8
2026-05-13T17:51:02Z	47414	0	0	8
2026-05-13T17:51:07Z	47967	0	0	8
2026-05-13T17:51:12Z	48000	0	0	8
2026-05-13T17:51:17Z	48108	0	0	8
2026-05-13T17:51:23Z	48163	0	0	8
2026-05-13T17:51:28Z	48180	0	0	8
2026-05-13T17:51:34Z	48195	0	0	8
2026-05-13T17:51:39Z	48235	0	0	8
2026-05-13T17:51:45Z	48264	0	0	8
2026-05-13T17:51:50Z	48287	0	0	8
2026-05-13T17:51:55Z	48310	0	0	8
2026-05-13T17:52:00Z	48342	0	0	8
2026-05-13T17:52:05Z	48359	0	0	8
2026-05-13T17:52:10Z	48379	0	0	8
2026-05-13T17:52:16Z	48395	0	0	8
2026-05-13T17:52:21Z	48411	0	0	8
2026-05-13T17:52:26Z	48421	0	0	8
2026-05-13T17:52:31Z	48448	0	0	8
2026-05-13T17:52:36Z	48649	0	0	8
2026-05-13T17:52:41Z	48669	0	0	8
2026-05-13T17:52:46Z	48683	0	0	8
2026-05-13T17:52:51Z	48744	0	0	8
2026-05-13T17:52:57Z	48767	0	0	8
2026-05-13T17:53:02Z	48812	0	0	8
2026-05-13T17:53:07Z	49035	0	0	8
2026-05-13T17:53:12Z	49151	0	0	8
2026-05-13T17:53:18Z	49460	0	0	8
2026-05-13T17:53:23Z	49517	0	0	8
2026-05-13T17:53:28Z	49538	0	0	8
2026-05-13T17:53:33Z	49645	0	0	8
2026-05-13T17:53:38Z	49998	0	0	8
2026-05-13T17:53:43Z	50113	0	0	8
2026-05-13T17:53:49Z	50195	0	0	8
