sampled_at_utc	tcfs_pids	s3_established_sockets	highwater	limit
2026-05-13T22:04:42Z	12983	0	0	8
2026-05-13T22:04:47Z	13150	0	0	8
2026-05-13T22:04:52Z	13159	0	0	8
2026-05-13T22:04:57Z	13188	0	0	8
2026-05-13T22:05:02Z	13197	0	0	8
2026-05-13T22:05:07Z	13220	0	0	8
2026-05-13T22:05:12Z	13235	0	0	8
2026-05-13T22:05:17Z	13258	0	0	8
2026-05-13T22:05:22Z	13272	0	0	8
2026-05-13T22:05:28Z	13288	0	0	8
2026-05-13T22:05:33Z	13345	0	0	8
2026-05-13T22:05:38Z	13358	0	0	8
2026-05-13T22:05:43Z	13367	0	0	8
2026-05-13T22:05:48Z	13388	0	0	8
2026-05-13T22:05:53Z	13415	0	0	8
2026-05-13T22:05:58Z	13437	0	0	8
2026-05-13T22:06:03Z	13456	0	0	8
2026-05-13T22:06:08Z	13475	0	0	8
2026-05-13T22:06:13Z	13499	0	0	8
2026-05-13T22:06:18Z	13514	0	0	8
2026-05-13T22:06:24Z	13530	0	0	8
2026-05-13T22:06:29Z	13542	0	0	8
2026-05-13T22:06:34Z	13561	0	0	8
2026-05-13T22:06:39Z	13701	0	0	8
2026-05-13T22:06:44Z	13712	0	0	8
2026-05-13T22:06:49Z	13730	0	0	8
2026-05-13T22:06:54Z	13745	0	0	8
2026-05-13T22:06:59Z	13759	0	0	8
2026-05-13T22:07:04Z	13776	0	0	8
2026-05-13T22:07:09Z	13788	0	0	8
2026-05-13T22:07:14Z	13804	0	0	8
2026-05-13T22:07:20Z	13831,13838	8	8	8
2026-05-13T22:07:25Z	13831,13851	8	8	8
2026-05-13T22:07:30Z	13831,13867	9	9	8
2026-05-13T22:07:35Z	13831,13882	9	9	8
2026-05-13T22:07:40Z	13831,13895	9	9	8
2026-05-13T22:07:46Z	13831,13909	9	9	8
2026-05-13T22:07:51Z	13831,13924	9	9	8
2026-05-13T22:07:56Z	13831,13938	0	9	8
2026-05-13T22:08:01Z	13831,13955	0	9	8
2026-05-13T22:08:06Z	13831,13970	0	9	8
2026-05-13T22:08:11Z	13831,13984	0	9	8
2026-05-13T22:08:16Z	13831,14000	0	9	8
2026-05-13T22:08:21Z	13831,14013	0	9	8
2026-05-13T22:08:26Z	13831,14094	0	9	8
2026-05-13T22:08:32Z	13831,14111	0	9	8
2026-05-13T22:08:37Z	13831,14130	1	9	8
2026-05-13T22:08:42Z	13831,14146	3	9	8
2026-05-13T22:08:47Z	13831,14161	6	9	8
2026-05-13T22:08:52Z	13831,14175	6	9	8
2026-05-13T22:08:57Z	13831,14188	7	9	8
2026-05-13T22:09:02Z	13831,14208	9	9	8
2026-05-13T22:09:07Z	13831,14221	9	9	8
2026-05-13T22:09:12Z	13831,14236	9	9	8
2026-05-13T22:09:17Z	13831,14251	9	9	8
2026-05-13T22:09:22Z	13831,14280	9	9	8
2026-05-13T22:09:27Z	13831,14293	9	9	8
2026-05-13T22:09:33Z	13831,14337	8	9	8
2026-05-13T22:09:38Z	13831,14471	8	9	8
2026-05-13T22:09:43Z	13831,14505	8	9	8
2026-05-13T22:09:48Z	13831,14623	8	9	8
2026-05-13T22:09:53Z	13831,14636	8	9	8
2026-05-13T22:09:58Z	13831,14654	8	9	8
2026-05-13T22:10:03Z	13831,14669	8	9	8
2026-05-13T22:10:08Z	13831,14690	8	9	8
2026-05-13T22:10:14Z	13831,14715	8	9	8
2026-05-13T22:10:19Z	13831,14733	9	9	8
2026-05-13T22:10:24Z	13831,14758	9	9	8
2026-05-13T22:10:29Z	13831,14799	9	9	8
2026-05-13T22:10:34Z	13831,14839	9	9	8
2026-05-13T22:10:39Z	13831,14992	9	9	8
2026-05-13T22:10:44Z	13831,15484	9	9	8
2026-05-13T22:10:49Z	13831,15541	8	9	8
2026-05-13T22:10:54Z	13831,15604	8	9	8
2026-05-13T22:10:59Z	13831,15898	8	9	8
2026-05-13T22:11:05Z	13831,15918	8	9	8
2026-05-13T22:11:10Z	13831,15949	8	9	8
2026-05-13T22:11:15Z	13831,16017	9	9	8
2026-05-13T22:11:20Z	13831,16043	9	9	8
2026-05-13T22:11:25Z	13831,16069	9	9	8
2026-05-13T22:11:30Z	13831,16091	9	9	8
2026-05-13T22:11:35Z	13831,16115	8	9	8
2026-05-13T22:11:40Z	13831,16146	8	9	8
2026-05-13T22:11:45Z	13831,16187	8	9	8
2026-05-13T22:11:50Z	13831,16206	8	9	8
2026-05-13T22:11:55Z	13831,16227	8	9	8
2026-05-13T22:12:00Z	13831,16243	8	9	8
2026-05-13T22:12:05Z	13831,16283	8	9	8
2026-05-13T22:12:10Z	13831,16300	8	9	8
2026-05-13T22:12:16Z	13831,16327	8	9	8
2026-05-13T22:12:21Z	13831,16341	8	9	8
2026-05-13T22:12:26Z	13831,16360	8	9	8
2026-05-13T22:12:31Z	13831,16373	8	9	8
2026-05-13T22:12:36Z	13831,16400	8	9	8
2026-05-13T22:12:41Z	13831,16417	8	9	8
2026-05-13T22:12:47Z	13831,16457	8	9	8
2026-05-13T22:12:52Z	13831,16490	9	9	8
2026-05-13T22:12:58Z	13831,16513	9	9	8
2026-05-13T22:13:03Z	13831,16529	9	9	8
2026-05-13T22:13:08Z	13831,16554	9	9	8
2026-05-13T22:13:13Z	13831,16574	9	9	8
2026-05-13T22:13:18Z	13831,16608	8	9	8
2026-05-13T22:13:23Z	13831,16627	8	9	8
2026-05-13T22:13:28Z	13831,16708	8	9	8
2026-05-13T22:13:33Z	13831,16731	8	9	8
2026-05-13T22:13:38Z	13831,16744	8	9	8
2026-05-13T22:13:43Z	13831,16780	8	9	8
2026-05-13T22:13:48Z	13831,16823	8	9	8
2026-05-13T22:13:53Z	13831,16847	8	9	8
2026-05-13T22:13:59Z	13831,16895	8	9	8
2026-05-13T22:14:04Z	13831,16915	8	9	8
2026-05-13T22:14:09Z	13831,16935	8	9	8
2026-05-13T22:14:14Z	13831,16955	8	9	8
2026-05-13T22:14:19Z	13831,17158	9	9	8
2026-05-13T22:14:24Z	13831,17266	9	9	8
2026-05-13T22:14:29Z	13831,18004	9	9	8
2026-05-13T22:14:34Z	13831,18170	9	9	8
2026-05-13T22:14:39Z	13831,18209	9	9	8
2026-05-13T22:14:44Z	13831,18226	9	9	8
2026-05-13T22:14:49Z	13831,18253	8	9	8
2026-05-13T22:14:54Z	13831,18844	8	9	8
2026-05-13T22:15:00Z	13831,18915	8	9	8
2026-05-13T22:15:05Z	13831,19108	8	9	8
2026-05-13T22:15:10Z	13831,19169	8	9	8
2026-05-13T22:15:15Z	13831,19240	8	9	8
2026-05-13T22:15:20Z	13831,19327	8	9	8
2026-05-13T22:15:25Z	13831,19365	8	9	8
2026-05-13T22:15:30Z	13831,19378	8	9	8
2026-05-13T22:15:35Z	13831,19394	8	9	8
2026-05-13T22:15:40Z	13831,19439	8	9	8
2026-05-13T22:15:46Z	13831,19470	8	9	8
2026-05-13T22:15:51Z	13831,19492	8	9	8
2026-05-13T22:15:56Z	13831,19519	8	9	8
2026-05-13T22:16:01Z	13831,19540	8	9	8
2026-05-13T22:16:06Z	13831,19561	8	9	8
2026-05-13T22:16:11Z	13831,20402	8	9	8
2026-05-13T22:16:16Z	13831,20421	8	9	8
2026-05-13T22:16:21Z	13831,20480	8	9	8
2026-05-13T22:16:26Z	13831,20496	8	9	8
2026-05-13T22:16:31Z	13831,20514	8	9	8
2026-05-13T22:16:36Z	13831,20529	8	9	8
2026-05-13T22:16:42Z	13831,20554	9	9	8
2026-05-13T22:16:47Z	13831,20569	9	9	8
2026-05-13T22:16:52Z	13831,20583	9	9	8
2026-05-13T22:16:57Z	13831,20616	9	9	8
2026-05-13T22:17:02Z	13831,20638	8	9	8
2026-05-13T22:17:07Z	13831,20666	8	9	8
2026-05-13T22:17:12Z	13831,20698	8	9	8
2026-05-13T22:17:17Z	13831,20713	8	9	8
2026-05-13T22:17:22Z	13831,20727	8	9	8
2026-05-13T22:17:28Z	13831,20792	9	9	8
2026-05-13T22:17:33Z	13831,21946	9	9	8
2026-05-13T22:17:38Z	13831,22291	9	9	8
2026-05-13T22:17:43Z	13831,22528	9	9	8
2026-05-13T22:17:48Z	13831,22557	8	9	8
2026-05-13T22:17:53Z	13831,22575	8	9	8
2026-05-13T22:17:59Z	13831,22644	8	9	8
2026-05-13T22:18:04Z	13831,22705	8	9	8
2026-05-13T22:18:09Z	13831,22735	8	9	8
2026-05-13T22:18:14Z	13831,22753	8	9	8
2026-05-13T22:18:19Z	13831,22783	8	9	8
2026-05-13T22:18:24Z	13831,22811	8	9	8
2026-05-13T22:18:29Z	13831,22910	8	9	8
2026-05-13T22:18:34Z	13831,22923	8	9	8
2026-05-13T22:18:39Z	13831,22991	8	9	8
2026-05-13T22:18:45Z	13831,23006	8	9	8
2026-05-13T22:18:50Z	13831,23026	8	9	8
2026-05-13T22:18:55Z	13831,23057	8	9	8
2026-05-13T22:19:00Z	13831,23089	8	9	8
2026-05-13T22:19:05Z	13831,23104	8	9	8
2026-05-13T22:19:10Z	13831,23172	8	9	8
2026-05-13T22:19:15Z	13831,23202	8	9	8
2026-05-13T22:19:20Z	13831,23218	9	9	8
2026-05-13T22:19:25Z	13831,23276	9	9	8
2026-05-13T22:19:30Z	13831,23289	9	9	8
2026-05-13T22:19:36Z	13831,23321	9	9	8
2026-05-13T22:19:41Z	13831,23334	9	9	8
2026-05-13T22:19:46Z	13831,23881	9	9	8
2026-05-13T22:19:51Z	13831,24007	8	9	8
2026-05-13T22:19:56Z	13831,24022	8	9	8
2026-05-13T22:20:01Z	13831,24035	8	9	8
2026-05-13T22:20:06Z	13831,24048	8	9	8
2026-05-13T22:20:11Z	13831,24061	8	9	8
2026-05-13T22:20:16Z	13831,24075	8	9	8
2026-05-13T22:20:21Z	13831,24088	8	9	8
2026-05-13T22:20:26Z	13831,24101	8	9	8
2026-05-13T22:20:31Z	13831,24114	8	9	8
2026-05-13T22:20:36Z	13831,24127	8	9	8
2026-05-13T22:20:41Z	13831,24143	8	9	8
2026-05-13T22:20:47Z	13831,24157	8	9	8
2026-05-13T22:20:52Z	13831,24395	8	9	8
2026-05-13T22:20:57Z	13831,24823	8	9	8
2026-05-13T22:21:02Z	13831,24874	8	9	8
